migration_rate,biotic_coeff,abiotic_coeff,fixed_interaction_mat,selection_coeff,correlated_div,modular_div,div_diff
0.0,2.0,0.5,5,0.5,0.42802983100094494,0.25543471557770175,0.17259511542324318
0.0,5.0,0.0,7,0.5,0.06814966280251337,0.06754005945933703,0.0006096033431763487
0.0,1.0,1.0,7,0.5,1.5093835332941403,1.0551760972797217,0.4542074360144186
0.0,0.5,0.0,2,0.12,2.2176703153372763,2.488594139837318,-0.2709238245000418
0.0,1.0,2.0,8,0.5,2.3119851749939375,2.031141659890079,0.28084351510385863
0.0,0.5,2.0,7,0.01,2.4515842013573548,2.4918571751875755,-0.04027297383022077
0.0,1.0,0.1,1,0.12,2.4397986474649316,2.4230758484463824,0.016722799018549228
0.0,0.1,2.0,8,0.12,2.4974513511044627,2.6784500372119098,-0.18099868610744707
0.0,0.1,0.5,2,0.5,0.3291571899885096,0.4327586312078996,-0.10360144121938997
0.0,0.5,2.0,4,0.12,2.496809020900593,2.562504710423321,-0.06569568952272808
0.0,0.5,0.0,3,0.12,2.1918629700331325,2.231780745490089,-0.039917775456956406
0.0,0.0,0.0,2,0.5,2.5472788814174034,2.56103414173924,-0.013755260321836715
0.0,0.1,1.0,6,0.01,2.612366784442693,2.640189844065685,-0.027823059622991586
0.0,1.0,0.5,5,0.01,2.4951530880442654,2.372362733270483,0.12279035477378253
0.0,0.1,5.0,3,0.12,2.5683046095151543,2.6882985316356938,-0.1199939221205395
0.0,0.1,2.0,1,0.01,2.6713365170917274,2.54507419808257,0.1262623190091574
0.0,5.0,5.0,2,0.12,2.3444766348009134,2.5405284093216483,-0.19605177452073486
0.0,0.0,0.5,6,0.5,2.5714355945732232,2.5870823046201155,-0.01564671004689222
0.0,0.5,0.0,7,0.01,2.5802991112536255,2.5369823971930936,0.04331671406053195
0.0,5.0,0.1,2,0.01,2.0657416892600535,2.3092423591901343,-0.2435006699300808
0.0,5.0,1.0,8,0.12,2.5225072649268356,2.3614995701966413,0.16100769473019438
0.0,0.5,0.0,4,0.12,2.366324499603243,2.3250398228836437,0.04128467671959912
0.0,0.0,1.0,2,0.12,2.5891819787245143,2.5861627710413373,0.003019207683176983
0.0,0.1,0.1,9,0.01,2.620501921588947,2.6329072407313516,-0.012405319142404725
0.0,0.0,0.1,10,0.12,2.5951964051025374,2.5940182697534233,0.00117813534911404
0.0,5.0,2.0,1,0.01,2.4079499742173414,2.5445151165970312,-0.13656514237968986
0.0,0.5,0.0,8,0.01,2.4906859078871575,2.4352842139544184,0.05540169393273908
0.0,5.0,0.5,3,0.5,0.3503965416959673,0.06916276113783637,0.2812337805581309
0.0,0.1,5.0,4,0.12,2.6404865335460803,2.3907923761953604,0.24969415735071987
0.0,1.0,0.0,10,0.5,0.06734915871657504,0.06924353643323032,-0.0018943777166552794
0.0,5.0,0.0,6,0.01,2.419798420855587,2.310311970792164,0.10948645006342295
0.0,1.0,1.0,6,0.01,2.379789816732651,2.396187289432794,-0.016397472700143023
0.0,0.0,0.0,4,0.5,2.563406612069683,2.5403231393961256,0.02308347267355737
0.0,5.0,0.5,9,0.5,0.0658092498868047,0.4432474567235705,-0.3774382068367658
0.0,1.0,0.0,8,0.12,2.383285082529987,2.209890278263885,0.1733948042661022
0.0,2.0,1.0,6,0.12,2.2700127599567024,2.3853331076447004,-0.11532034768799804
0.0,0.1,0.1,7,0.5,0.06944848356876,0.06761276482195351,0.0018357187468064917
